Material;Amount;Unit;URI
Aluminum;173.12;kg;
Cable (1.9kg) including plug / connectors;1.9;kg;
Cobalt;27.62956298;kg;http://data.europa.eu/xsp/cn2024/810520000080
Copper;48.9584;kg;
Electrolyte;54.24;kg;http://data.europa.eu/xsp/cn2024/722699100080
Electronic components;4.52;kg;
Graphite;81.648;kg;https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:33418
Lithium;9.6820384;kg;http://data.europa.eu/xsp/cn2024/850650000080
Manganese;25.75791819;kg;http://data.europa.eu/xsp/cn2024/811100000080
Nickel;27.51703803;kg;http://data.europa.eu/xsp/cn2024/750210000080
Others;56.7094424;kg;
Plastics;13.2326;kg;
Steel;53.36;kg;http://data.europa.eu/xsp/cn2024/850490130080
