Type;Flow;Factor1; Reference1 ;Factor2; Reference2 ;Factor3; Reference3 ;Factor4; Reference4 ;Unit;;
Input;Battery;;;;;;;;;kg;;
Resource;Limestone (CaO);0.42;mass Battery;;;;;;;kg;;
Resource;Sand (SiO2);0.22;mass Battery;;;;;;;kg;;
Resource;Oxygen;0.11;;;;;;;;kg;;
Resource;Sulfuric acid (95%);1.67;Nickel in cell;1.664347531;Cobalt in cell;1.543351692;Copper in cell;0.526839749;Iron in cell & module;kg;;
Resource;Water;5.06;Nickel in cell;8.240426864;Cobalt in cell;14.84669377;Copper in cell;12.74983214;Iron in cell & module;kg;;
Resource;Iron;0.97;Copper in cell;;;;;;;kg;;
Resource;Hydrogen peroxide;;;;;;;;;kg;;
Resource;Sodium hydroxide;;;;;;;;;kg;;
Resource;Kerosene;;;;;;;;;kg;;
Resource;Cyanex 272 ;;;;;;;;;kg;;
Resource;D2EHPA;;;;;;;;;kg;;
Resource;Sodium carbonate;;;;;;;;;kg;;
Resource;Net water requirement;;;;;;;;;kg;;
Energy;Natural gas (CH4);;;;;;;;;m³;;
Energy;Electricity;;;;;;;;;kWh;;
Output;Electricity;5.00;number battery;;;;;;;kWh;;
Output;Aluminium;0.99;mass in battery (without modules);;;;;;; t ;;
Output;Steel;0.99;mass in battery (without modules);;;;;;; t ;;
Output;Copper;0.99;mass in battery (without modules);0.9;mass in module and cell;;;;; t ;;
Output;Electronic waste;0.99;mass in battery (without modules);;;;;;; t ;;
Output;Cable;0.99;mass in battery (without modules);;;;;;; t ;;
Output;Waste (incineration);0.99;plastics & others in battery (without modules);;;;;;; t ;;
Output;Iron hydroxide Fe(OH)3;;;;;;;;; t ;;
Output;Kerosene;;;;;;;;; t ;;
Output;Cyanex 272;;;;;;;;; t ;;
Output;NiSO4 * 6 H2O;;;;;;;;; t ;;
Output;CoSO4 * 7 H2O;;;;;;;;; t ;;
Output;Wastewater;;;;;;;;; t ;;
Output;Calcium sulfate;;;;;;;;; t ;;
Output;Silicon;;;;;;;;; t ;;
Output;Aluminium hydroxide;;;;;;;;; t ;;
Output;D2EHPA;;;;;;;;; t ;;
Output;MnSO4 * 1 H2O;;;;;;;;; t ;;
Output;Li2CO3 (anhydrous);;;;;;;;; t ;;
Output;Water;;;;;;;;; t ;;
Output;conc. Wastewater;;;;;;;;; t ;;
Output;Wastewater net;;;;;;;;;t;;
